"mz","rt","height","intensity"
219.109603881836,7.672216,274507.40625,911271.929545351
219.109657287598,8.545917,278920.59375,694461.186328875
219.109680175781,7.7979437,234993.828125,603757.085186534
219.109580993652,12.782463,188515.03125,441213.682808212
219.126663208008,12.717632,1717930.25,4988581.02385032
219.12654876709,11.900062,1358108.625,6234844.4952788
219.126708984375,11.649379,1386306.75,5826766.58817369
219.126541137695,11.307931,1393534,5947558.8883743
219.126602172852,12.059981,1332264,5279064.94884563
219.126647949219,6.1764051,263246.28125,1168150.0398802
219.126617431641,6.3709008,326331.625,1403759.06539643
219.126617431641,5.8781785,351130.78125,562632.846789026
219.126747131348,5.601563,220576.484375,1023638.09787052
219.126617431641,5.9862318,267193.96875,640795.990616534
219.126594543457,6.6215838,414593.125,895618.864871445
219.126655578613,5.4070668,234382.234375,513822.297739735
219.126693725586,5.2514707,216047.6875,457123.287180052
219.126617431641,6.2282705,338110.375,546701.229675797
219.126655578613,9.2462764,737091.5625,2187622.08247543
220.093856811523,12.267443,197483.859375,554801.666580475
220.093559265137,10.054514,265758.21875,579388.40627626
220.093574523926,9.9291725,265345.09375,493788.895403166
220.093490600586,9.5358588,244798.28125,670901.583004264
220.093566894531,8.6237154,206150.4375,365880.114661281
220.909553527832,12.549068,440876.625,1586405.53681078
220.909439086914,12.172356,532545.9375,1409646.1834003
220.970840454102,12.721954,2400794.25,7273501.08911816
220.970809936523,11.623446,1182948.875,4377246.49570971
220.970703125,11.316575,1263850.375,4098551.69261442
220.970779418945,10.944872,994712.8125,3721593.28460712
220.97087097168,9.5445034,895870.75,3639285.33874618
220.970779418945,0.40780704,685026.625,2469663.45480304
220.970748901367,9.7346766,859994.875,3254148.79540543
220.970748901367,6.5221752,484013.125,1999217.49115471
220.970840454102,6.7037041,449106,1743592.07630269
220.970809936523,12.198289,298665.96875,616900.902049909
220.970855712891,0.33433078,297242.28125,866228.859292212
222.004791259766,11.645057,1279505.125,4011041.23826529
222.004852294922,12.717632,1252542,2816717.4874969
222.00471496582,11.152334,1139333.625,4235828.65313906
222.004722595215,10.607746,1459292.75,3153662.14378496
