"mz","rt","peaktable_1_6a93145d1bc48e797ae1f779eae404e0 intensity","peaktable_2_2ad96385d4e11b01c12368cf109cff67 intensity"
262.710571289062,10.226504,NA,117418.305523765
262.900276184082,16.668222,415250.012962029,296502.206647026
262.912750244141,24.656747,NA,141572.796398668
262.924163818359,0.6992446,132870.452330448,NA
262.981536865234,20.799769,30368901.4455718,22701841.7161536
263.017776489258,20.911037,728041.832360874,275157.036865081
263.031509399414,5.7542395,148466.270914593,104376.482339647
263.091522216797,24.6054005,157938.195434998,NA
263.170341491699,12.5930305,201773.22056359,81172.8148311397
263.236846923828,13.0159625,192464.258425905,235508.12713664
263.254302978516,16.360903,NA,67578.3873677358
263.255233764648,12.229378,NA,79554.4317880083
263.984832763672,21.4185515,1205320.5669954,1366905.92562412
264.109619140625,8.4642126,88090.4063822435,NA
264.109786987305,15.5801895,268236.842976107,181542.418346606
264.146438598633,16.755056,217395.44557444,192101.725812187
264.268653869628,16.260528,618032.882344222,1071707.36840764
264.97737121582,26.205838,895136.437478394,NA
264.985702514648,12.381246,537446.280792459,205375.357544286
265.167839050293,16.2575885,171587.301523375,119555.722738354
265.225158691406,0.976616775,296534.312886972,202871.641274156
265.252349853516,21.845723,6279480.25455011,7393905.39574516
265.956176757812,16.876867,213680.361169555,311599.928989681
266.172668457031,7.7038244,34037.1589307363,112337.860382696
266.284225463867,11.5757155,595073.511510003,748999.619652888
266.974365234375,19.569274,1101782.01272585,1016570.06000529
266.974639892578,25.191218,NA,485954.707804208
266.988563537598,24.7492495,260583.845753207,402571.313575324
267.047653198242,4.6957311,142058.98002036,112605.903029901
267.967956542969,10.686554,341162.738054409,659770.454816562
268.263427734375,1.806538,161149.37318983,1433993.89969564
268.299530029297,4.6607415,126519.694862213,NA
268.299911499023,10.987438,223283.759301247,153455.516473184
268.715362548828,16.360903,NA,81370.6437897434
268.998443603516,21.962421,12189230.1915397,15965305.7606401
269.044662475586,26.061694,188246.685941369,NA
269.266845703125,1.80220085,212282.208300838,215969.43085036
269.280212402344,11.4503118,NA,90086.4795459379
269.966094970703,10.941559,1328394.75259874,292204.2282298
270.001770019531,21.634935,702246.428120081,955605.393814413
270.315475463867,1.7127892,658313.416179868,827858.388033984
270.945327758789,0.74594394,70477.185517587,83993.6925305507
271.002563476562,13.293215,292098.21687399,176438.937169876
